lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber
84-277,LA4002,nelder_mead,270.0,0.24049812233549775,41.12066000488959,12.132214913359377,16.120660004889587,41.12066000488959
84-277,LA4002,nelder_mead,280.0,0.2524982171315943,41.119961651360875,12.126438730979899,16.119961651360875,41.119961651360875
84-277,LA4002,nelder_mead,290.0,0.24599842424261278,41.16879063658416,12.137512089684606,16.168790636584163,41.16879063658416
84-277,LA4002,nelder_mead,300.0,0.262498481012724,41.194105619360926,12.16342504232307,16.194105619360926,41.194105619360926
84-277,LA4002,powell,150.0,0.00016343695314422534,34.89667363646443,9.76064298593355,9.896673636464426,34.89667363646443
84-277,LA4002,powell,160.0,0.000133561903472346,35.00812975091285,9.707244174791962,10.008129750912849,35.00812975091285
84-277,LA4002,powell,170.0,0.00010257944539463542,35.00812975091285,9.707244174791962,10.008129750912849,35.00812975091285
84-277,LA4002,powell,180.0,0.00015593787464047065,34.93111543015432,9.702865060338066,9.93111543015432,34.93111543015432
84-277,LA4002,powell,190.0,8.186016181104284e-05,35.00812975091285,9.707244174791962,10.008129750912849,35.00812975091285
84-277,LA4002,powell,200.0,0.21351520922550732,43.643588084591386,12.035895822641928,18.643588084591386,43.643588084591386
84-277,LA4002,powell,210.0,0.22230348533555616,41.17371454516379,12.140426821359661,16.173714545163786,41.17371454516379
84-277,LA4002,powell,220.0,0.19565680872893423,59.514992813102985,11.291515910239687,34.514992813102985,59.514992813102985
84-277,LA4002,powell,230.0,0.24490938584380548,41.27243746494205,12.11985746676236,16.27243746494205,41.27243746494205
84-277,LA4002,powell,240.0,0.23023870802159663,41.1547356184471,12.13151699105295,16.1547356184471,41.1547356184471
84-277,LA4002,powell,250.0,0.24249769146414066,41.13567197799374,12.125334303753416,16.135671977993738,41.13567197799374
84-277,LA4002,powell,260.0,0.2289972543025631,55.7780976945522,11.501886523759948,30.7780976945522,55.7780976945522
84-277,LA4002,powell,270.0,0.2284975090813345,56.019712570804906,11.488224330785089,31.019712570804906,56.019712570804906
84-277,LA4002,powell,280.0,0.24549826237017291,41.16967502266116,12.121968486127132,16.16967502266116,41.16967502266116
84-277,LA4002,powell,290.0,0.22949853361238243,41.159483507439006,12.12867974302974,16.15948350743901,41.159483507439006
84-277,LA4002,powell,300.0,0.2129982393668623,57.28980675926586,11.419513359037595,32.28980675926586,57.28980675926586
84-277,LA4002,grid_search,150.0,0.00017137991148990367,35.166666666666664,9.7,10.166666666666664,35.166666666666664
84-277,LA4002,grid_search,160.0,8.917601824400341e-05,38.43333333333334,10.858333333333333,13.433333333333334,38.43333333333334
84-277,LA4002,grid_search,170.0,4.792775036286947e-05,38.43333333333334,10.858333333333333,13.433333333333334,38.43333333333334
84-277,LA4002,grid_search,180.0,6.676298654033132e-05,38.43333333333334,10.858333333333333,13.433333333333334,38.43333333333334
84-277,LA4002,grid_search,190.0,9.846762600067723e-05,35.166666666666664,9.7,10.166666666666664,35.166666666666664
84-277,LA4002,grid_search,200.0,0.17579421112762914,60.166666666666664,11.4375,35.166666666666664,60.166666666666664
84-277,LA4002,grid_search,210.0,0.18924665140150426,60.166666666666664,11.4375,35.166666666666664,60.166666666666664
84-277,LA4002,grid_search,220.0,0.19876690543336006,60.166666666666664,11.4375,35.166666666666664,60.166666666666664
84-277,LA4002,grid_search,230.0,0.20145091984500219,60.166666666666664,11.4375,35.166666666666664,60.166666666666664
84-277,LA4002,grid_search,240.0,0.20823736528729603,60.166666666666664,11.4375,35.166666666666664,60.166666666666664
84-277,LA4002,grid_search,250.0,0.21299694480375694,60.166666666666664,11.4375,35.166666666666664,60.166666666666664
84-277,LA4002,grid_search,260.0,0.19599745641726923,60.166666666666664,11.4375,35.166666666666664,60.166666666666664
84-277,LA4002,grid_search,270.0,0.1889977790579042,60.166666666666664,11.4375,35.166666666666664,60.166666666666664
84-277,LA4002,grid_search,280.0,0.19999787444260522,60.166666666666664,11.4375,35.166666666666664,60.166666666666664
84-277,LA4002,grid_search,290.0,0.1829982406179568,60.166666666666664,11.4375,35.166666666666664,60.166666666666664
84-277,LA4002,grid_search,300.0,0.21099816383448483,60.166666666666664,11.4375,35.166666666666664,60.166666666666664
84-277,LA4002,bayesian,150.0,8.8339941587603e-06,44.38957425976153,10.143861811721955,19.38957425976153,44.38957425976153
84-277,LA4002,bayesian,160.0,6.15342055572355e-06,44.38957425976153,10.143861811721955,19.38957425976153,44.38957425976153
84-277,LA4002,bayesian,170.0,3.6474417703019665e-06,44.38957425976153,10.143861811721955,19.38957425976153,44.38957425976153
84-277,LA4002,bayesian,180.0,2.739146299662997e-06,44.38957425976153,10.143861811721955,19.38957425976153,44.38957425976153
84-277,LA4002,bayesian,190.0,1.959276858415864e-06,44.38957425976153,10.143861811721955,19.38957425976153,44.38957425976153
84-277,LA4002,bayesian,200.0,0.16314034218184223,46.21835407398716,13.233520314507317,21.218354073987157,46.21835407398716
84-277,LA4002,bayesian,210.0,0.17647562117621854,46.21835406366639,13.233520289735537,21.21835406366639,46.21835406366639
84-277,LA4002,bayesian,220.0,0.17789596980340253,46.36799952249954,13.22490587067248,21.367999522499538,46.36799952249954
84-277,LA4002,bayesian,230.0,0.18478052821269356,46.21835420042723,13.233520308926382,21.21835420042723,46.21835420042723
84-277,LA4002,bayesian,240.0,0.1884282934877639,46.218354202483816,13.233520403360094,21.218354202483816,46.218354202483816
84-277,LA4002,bayesian,250.0,0.1934978904013267,46.36800470828443,13.224906134721879,21.36800470828443,46.36800470828443
84-277,LA4002,bayesian,260.0,0.1719983028472047,46.36800694097336,13.224906196036164,21.368006940973363,46.36800694097336
84-277,LA4002,bayesian,270.0,0.1879983275829849,46.21835460092596,13.233520423341266,21.218354600925966,46.21835460092596
