lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling
36-686,84-278,27.0,30.0,13.776073617361858,19.77855238436903,49.77855238436903,49.77855238436903,0.218
84-277,84-277,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.2165
84-277,48-024,25.0,25.0,11.544779113555016,29.47736810411639,54.477368104116394,54.477368104116394,0.216
LA4002,48-024,25.0,25.0,11.4375,35.166666666666664,60.166666666666664,60.166666666666664,0.216
48-024,LA4002,25.0,25.0,11.4375,35.166666666666664,60.166666666666664,60.166666666666664,0.215
36-681,36-682,22.0,20.0,9.7,15.608333333333333,35.608333333333334,35.608333333333334,0.214
LA4002,84-277,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.212
48-024,LA4002,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.212
48-025,48-025,30.0,30.0,15.583333333333332,30.583333333333332,60.58333333333333,60.58333333333333,0.212
LA4002,48-024,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.2115
36-686,LA4003,27.0,35.0,14.348301287762265,20.355539136404154,55.355539136404154,55.355539136404154,0.207
36-682,48-025,20.0,30.0,9.979067718981629,13.512790669836125,43.51279066983612,43.51279066983612,0.206
36-686,LA4003,27.0,35.0,14.366875715749316,20.366884102756813,55.36688410275681,55.36688410275681,0.2055
LA4647,LA4936,20.1,30.1,10.061129829298562,14.861152991693782,44.96115299169378,44.96115299169378,0.204
36-686,LA4003,27.0,35.0,14.298539677603703,21.189316086675635,56.18931608667563,56.18931608667563,0.2015
LA4021,84-278,30.0,30.0,14.74319867264451,42.61424595285288,72.61424595285288,72.61424595285288,0.201
36-686,84-278,27.0,30.0,14.100297991995777,39.68524782458304,69.68524782458303,69.68524782458303,0.1995
LA4002,84-277,25.0,25.0,11.4375,35.166666666666664,60.166666666666664,60.166666666666664,0.198
84-277,LA4002,25.0,25.0,11.4375,35.166666666666664,60.166666666666664,60.166666666666664,0.196
36-683,48-024,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.1955
84-277,48-024,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.1935
84-277,LA4002,25.0,25.0,12.218858880012418,34.811763171456874,59.811763171456874,59.811763171456874,0.192
LA4002,48-025,25.0,30.0,13.175,19.68333333333333,49.68333333333333,49.68333333333333,0.19
48-025,48-025,30.0,30.0,14.74319867264451,42.61424595285288,72.61424595285288,72.61424595285288,0.1815
LA4021,84-278,30.0,30.0,15.583333333333332,30.583333333333332,60.58333333333333,60.58333333333333,0.178
