lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,medium
LA4002,84-277,bayesian,270.0,0.198,46.21835436475078,13.23352043854633,21.218354364750784,46.21835436475078,argon
LA4002,84-277,bayesian,280.0,0.1965,46.21835445443345,13.233520495713448,21.21835445443345,46.21835445443345,argon
LA4002,84-277,bayesian,290.0,0.193,46.368004118238,13.224906258463834,21.368004118238,46.368004118238,argon
LA4002,84-277,bayesian,300.0,0.194,46.21835450573318,13.233520523746144,21.21835450573318,46.21835450573318,argon
84-277,LA4002,differential_evolution,150.0,0.253,41.23109870947775,12.124331314838576,16.23109870947775,41.23109870947775,argon
84-277,LA4002,differential_evolution,160.0,0.242,41.16896527700372,12.133375082319477,16.16896527700372,41.16896527700372,argon
84-277,LA4002,differential_evolution,170.0,0.2585,41.22263124068963,12.13801519104938,16.22263124068963,41.22263124068963,argon
84-277,LA4002,differential_evolution,180.0,0.25,41.30590123680997,12.119993805907187,16.305901236809973,41.30590123680997,argon
84-277,LA4002,differential_evolution,190.0,0.245,41.14756778548077,12.131863511229456,16.147567785480767,41.14756778548077,argon
84-277,LA4002,differential_evolution,200.0,0.2415,41.12401167066015,12.12472706118153,16.124011670660153,41.12401167066015,argon
84-277,LA4002,differential_evolution,210.0,0.258,41.164395401255575,12.135269244805803,16.164395401255575,41.164395401255575,argon
84-277,LA4002,differential_evolution,220.0,0.2545,41.17603370578234,12.134782353624413,16.176033705782338,41.17603370578234,argon
84-277,LA4002,differential_evolution,230.0,0.2405,41.159060928730405,12.133686327243511,16.159060928730405,41.159060928730405,argon
84-277,LA4002,differential_evolution,240.0,0.251,41.17251639673235,12.137834472715262,16.172516396732348,41.17251639673235,argon
84-277,LA4002,differential_evolution,250.0,0.2445,41.146363418304105,12.131027650444633,16.146363418304105,41.146363418304105,argon
84-277,LA4002,differential_evolution,260.0,0.256,41.16951198473525,12.129972955969048,16.16951198473525,41.16951198473525,argon
84-277,LA4002,differential_evolution,270.0,0.2585,41.178981892772505,12.130278619926289,16.178981892772505,41.178981892772505,argon
84-277,LA4002,differential_evolution,280.0,0.266,41.21266614245774,12.125856048230627,16.212666142457742,41.21266614245774,argon
84-277,LA4002,differential_evolution,290.0,0.2575,41.19413210245091,12.126693644236314,16.194132102450908,41.19413210245091,argon
84-277,LA4002,differential_evolution,300.0,0.231,41.1859388279577,12.125807057298656,16.1859388279577,41.1859388279577,argon
84-277,LA4002,dual_annealing,150.0,0.232,41.23269872382716,12.21711943382304,16.232698723827156,41.23269872382716,argon
84-277,LA4002,dual_annealing,160.0,0.2635,43.36572340862065,12.047277416741023,18.365723408620653,43.36572340862065,argon
84-277,LA4002,dual_annealing,170.0,0.2355,41.168557288772845,12.136657714426187,16.16855728877285,41.168557288772845,argon
84-277,LA4002,dual_annealing,180.0,0.2255,41.76861241286423,12.34774072331574,16.768612412864226,41.76861241286423,argon
84-277,LA4002,dual_annealing,190.0,0.245,41.66232582950449,12.10622680842254,16.66232582950449,41.66232582950449,argon
84-277,LA4002,dual_annealing,200.0,0.253,41.22380624383232,12.120969383350488,16.223806243832318,41.22380624383232,argon
84-277,LA4002,dual_annealing,210.0,0.2305,41.29272190241469,12.2751712281707,16.292721902414687,41.29272190241469,argon
84-277,LA4002,dual_annealing,220.0,0.251,41.48231211360074,12.111248845955917,16.482312113600738,41.48231211360074,argon
84-277,LA4002,dual_annealing,230.0,0.244,41.10840468829306,12.138316512578175,16.10840468829306,41.10840468829306,argon
84-277,LA4002,dual_annealing,240.0,0.244,41.53083012879674,12.109418401654608,16.530830128796737,41.53083012879674,argon
84-277,LA4002,dual_annealing,250.0,0.254,41.9193908248839,12.09561191622586,16.919390824883898,41.9193908248839,argon
84-277,LA4002,dual_annealing,260.0,0.2295,42.7854677339113,12.064665482876386,17.7854677339113,42.7854677339113,argon
84-277,LA4002,dual_annealing,270.0,0.2455,45.57168912032628,11.960605695186306,20.57168912032628,45.57168912032628,argon
84-277,LA4002,dual_annealing,280.0,0.23,41.0855762426832,12.136291118907469,16.085576242683196,41.0855762426832,argon
84-277,LA4002,dual_annealing,290.0,0.232,41.18343737460639,12.154430171991258,16.183437374606385,41.18343737460639,argon
84-277,LA4002,dual_annealing,300.0,0.2555,41.2121493099328,12.184171025126568,16.2121493099328,41.2121493099328,argon
84-277,LA4002,nelder_mead,150.0,0.009,34.82994561058149,9.707227682156372,9.82994561058149,34.82994561058149,argon
84-277,LA4002,nelder_mead,160.0,0.0035,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,170.0,0.2675,41.23888595393055,12.12422165089538,16.23888595393055,41.23888595393055,argon
84-277,LA4002,nelder_mead,180.0,0.0075,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,190.0,0.2325,41.156758847074215,12.125123679953234,16.156758847074215,41.156758847074215,argon
84-277,LA4002,nelder_mead,200.0,0.006,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,210.0,0.0075,34.82994561058149,9.707227682156372,9.82994561058149,34.82994561058149,argon
84-277,LA4002,nelder_mead,220.0,0.2455,41.12908744864399,12.125275867932942,16.129087448643986,41.12908744864399,argon
84-277,LA4002,nelder_mead,230.0,0.245,41.16579808819882,12.123216018372029,16.16579808819882,41.16579808819882,argon
84-277,LA4002,nelder_mead,240.0,0.0055,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,250.0,0.2335,41.08500063204701,12.125641859827738,16.085000632047013,41.08500063204701,argon
84-277,LA4002,nelder_mead,260.0,0.0045,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,270.0,0.2465,41.144886558831786,12.135459127413924,16.144886558831786,41.144886558831786,argon
84-277,LA4002,nelder_mead,280.0,0.003,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,290.0,0.005,34.816283269210544,9.7129607969473,9.816283269210544,34.816283269210544,argon
84-277,LA4002,nelder_mead,300.0,0.2435,41.115424625604646,12.129500258452026,16.115424625604646,41.115424625604646,argon
84-277,LA4002,powell,150.0,0.2575,41.14651325750497,12.138101764476508,16.14651325750497,41.14651325750497,argon
84-277,LA4002,powell,160.0,0.2355,43.11042203143877,12.056398009845024,18.110422031438773,43.11042203143877,argon
84-277,LA4002,powell,170.0,0.2425,41.13079296099778,12.127643913705668,16.130792960997777,41.13079296099778,argon
84-277,LA4002,powell,180.0,0.1415,40.40673358062661,11.551446375248007,15.406733580626616,40.40673358062661,argon
84-277,LA4002,powell,190.0,0.2605,41.20141633840375,12.17893615593005,16.20141633840375,41.20141633840375,argon
84-277,LA4002,powell,200.0,0.2375,41.16381313603742,12.15729179022799,16.163813136037415,41.16381313603742,argon
84-277,LA4002,powell,210.0,0.2385,41.230849196274704,12.19336214293628,16.230849196274708,41.230849196274704,argon
84-277,LA4002,powell,220.0,0.238,41.18754834324264,12.15255776791469,16.18754834324264,41.18754834324264,argon
84-277,LA4002,powell,230.0,0.24,41.29107124651584,12.12951920642142,16.29107124651584,41.29107124651584,argon
