lens1,lens2,coupling,z_l1,z_l2,z_fiber,total_length,spot_radius,output_angle,f1_eff,f2_eff,size_match,angle_match,method
36-681,LA4042,0.34864286216312146,37.0,75.75,175.75,175.75,0.42471037390688693,12.557131039212154,18.350220057720836,50.01298826435312,0.9867710582713933,0.9941619060126751,paraxial
36-689,48-669,0.3484722960898314,37.0,115.5,190.0,190.0,0.5829460512236992,12.755218425530721,29.189398605195183,30.02597949979891,0.9882900414666438,0.9921482729402786,paraxial
48-280,70-885,0.34815473792750706,67.0,244.88,254.055,254.055,0.5148071345376355,12.833679513685913,166.7342096027598,7.511041510246487,0.999574230848307,0.9800539903964928,paraxial
36-685,89-414,0.34782604659663635,47.0,154.5,196.625,196.625,0.4831162639236277,12.184236890191654,70.0363701112814,20.841776200344974,0.9994101865943908,0.9792894410410011,paraxial
48-281,LA4039,0.34781829553524923,37.0,352.21000000000004,361.58500000000004,361.58500000000004,0.43672612672039035,12.394156289538033,208.43594854463677,7.456481886685373,0.9908884736587048,0.9876893909914299,paraxial
84-282,LA4026,0.34751982473292775,37.0,87.75,94.0,94.0,0.4796703254922807,12.169399136597628,41.68355240068995,5.092231532370499,0.9991388702703916,0.9786929784974485,paraxial
48-025,LA4716,0.34729574367230065,67.0,108.05000000000001,1051.0,1051.0,0.5442313185618968,12.220279622499742,25.00649413217656,627.617536364664,0.9964137851107546,0.9807368112442534,paraxial
48-028,89-414,0.34728188161668233,57.0,146.94,189.065,189.065,0.43597885328116925,12.361720216523668,83.38529134256693,20.841776200344974,0.9906574482367171,0.9863961301859206,paraxial
36-687,89-411,0.3471760735872171,27.0,76.5,94.75,94.75,0.4586437245384358,12.215136366458445,30.02597949979891,8.329435863663173,0.9962801225859377,0.9805304038810828,paraxial
22-840,LA4036,0.3469311931576046,27.0,40.3125,47.0625,47.0625,0.48864211187527395,12.11372397224928,5.119114862415079,5.092231532370499,0.9997360462420015,0.9764516452715346,paraxial
23-811,LA4036,0.3469311931576046,27.0,40.3125,47.0625,47.0625,0.48864211187527395,12.11372397224928,5.119114862415079,5.092231532370499,0.9997360462420015,0.9764516452715346,paraxial
72-492,LA4036,0.3469311931576046,27.0,40.3125,47.0625,47.0625,0.48864211187527395,12.11372397224928,5.119114862415079,5.092231532370499,0.9997360462420015,0.9764516452715346,paraxial
72-512,LA4036,0.3469311931576046,27.0,40.3125,47.0625,47.0625,0.48864211187527395,12.11372397224928,5.119114862415079,5.092231532370499,0.9997360462420015,0.9764516452715346,paraxial
36-681,48-277,0.34652507261462867,47.0,85.75,339.17,339.17,0.4096932006042029,12.56793717342464,18.350220057720836,104.20888100172485,0.980355299610038,0.9945895808013315,paraxial
48-026,89-412,0.34627137566310506,27.0,110.13,136.20499999999998,136.20499999999998,0.5414968205376351,12.1382353342549,33.35411653702677,12.512340336681799,0.9968266812452582,0.9774390404246821,paraxial
45-695,48-665,0.34608364009562215,27.0,52.625,93.625,93.625,0.5205839625850599,12.869526642852502,22.514937989552422,20.005195305741246,0.9991865486553325,0.9746018562234128,paraxial
67-224,89-411,0.34604236579660225,67.0,238.5,256.75,256.75,0.6124694660621259,12.7437069564425,83.38529134256693,8.329435863663173,0.9796279941382695,0.9939415098032768,paraxial
LA4023,LA4600,0.3457132642496954,47.0,355.75,520.9375,520.9375,0.5070320653543958,12.02481690995217,291.89398605195186,83.65808946037248,0.9999024781043888,0.9728617779598162,paraxial
49-961,70-882,0.3451440898549108,27.0,66.5,69.3,69.3,0.6238124182406546,12.584047248498369,33.35411653702677,3.3463235784149,0.9758231325379437,0.9952268286321376,paraxial
67-224,LA4026,0.34491323719327105,67.0,201.0,207.25,207.25,0.5881596081548012,12.286664642972562,83.38529134256693,5.092231532370499,0.9869012477693063,0.9833970634826302,paraxial
36-685,LA4917,0.34470355261894636,37.0,144.5,176.89999999999998,176.89999999999998,0.6267356701092446,12.5782112941147,70.0363701112814,12.548713419055874,0.974803667906295,0.9949960295973354,paraxial
22-841,45-693,0.3446504859541791,27.0,43.125,73.125,73.125,0.5199029641850927,11.966886828868743,8.636085455572834,11.257468994776211,0.9992384600900677,0.970515546710217,paraxial
23-812,45-693,0.3446504859541791,27.0,43.125,73.125,73.125,0.5199029641850927,11.966886828868743,8.636085455572834,11.257468994776211,0.9992384600900677,0.970515546710217,paraxial
36-683,45-692,0.34461800413658145,27.0,70.625,101.875,101.875,0.5009675135968625,12.902100834124179,20.841776200344974,15.003896479305935,0.9999981314529014,0.9696868750569297,paraxial
48-026,LA4765,0.3445317747496236,47.0,100.13,203.23000000000002,203.23000000000002,0.4797002740760892,12.89818696961029,33.35411653702677,41.82904473018624,0.9991414576632978,0.9702754537270545,paraxial
84-284,LA4280,0.3444606354745106,57.0,174.5,197.1,197.1,0.5481636509053343,12.036882123954282,75.03766893771672,8.365808946037248,0.9957800769359697,0.9733497206372398,paraxial
36-681,89-414,0.3443820042194216,27.0,65.75,98.5,98.5,0.46239019414233473,12.003235336830407,18.350220057720836,20.841776200344974,0.9969471286768253,0.9719883627209089,paraxial
48-670,70-884,0.3442522009413234,27.0,151.5,160.45,160.45,0.5513953419667472,12.878107119082017,50.03117480554016,5.0012988264353115,0.9952247185654953,0.9733035657110822,paraxial
48-274,89-411,0.34423657461288926,37.0,105.34,123.59,123.59,0.5486813265160331,12.023326001551233,41.68355240068995,8.329435863663173,0.995693193635701,0.9728014654922689,paraxial
LA4012,LA4102,0.3441386965293148,47.0,298.9,703.1999999999999,703.1999999999999,0.5759507164381703,12.153844649858819,416.8355240068994,167.31617892074496,0.9900508641382163,0.9780673134876404,paraxial
48-028,LA4026,0.34400116501727274,27.0,116.94,120.94,120.94,0.5473602898137364,12.001579793274797,83.38529134256693,5.092231532370499,0.9959133249947323,0.9719213297704263,paraxial
84-284,89-412,0.34344177414495947,57.0,208.25,234.325,234.325,0.5033249883952808,11.865525931781104,75.03766893771672,12.512340336681799,0.9999780352929114,0.9663966174951132,paraxial
89-413,89-413,0.34321896114499945,27.0,46.0,72.5,72.5,0.4273049539989553,12.14574542043738,16.677058268513385,16.677058268513385,0.9877340461596724,0.9777413708764023,paraxial
45-695,48-280,0.3431275075872037,57.0,102.875,430.755,430.755,0.6507000361879456,12.694430193709128,22.514937989552422,166.7342096027598,0.9658946664631756,0.9995821926977356,paraxial
36-681,84-279,0.3428472400641265,37.0,67.5,160.5,160.5,0.5810474709898119,12.093830323032371,18.350220057720836,37.51883446885836,0.9887797426586326,0.9756495315567264,paraxial
48-274,70-882,0.3428419251700488,27.0,114.09,116.89,116.89,0.5508881117214022,11.935190939561855,41.68355240068995,3.3463235784149,0.9953139194509294,0.9692294248607549,paraxial
22-842,36-680,0.3426239979952672,27.0,41.2625,88.2625,88.2625,0.6033071204207614,12.232557882028555,8.838727454039317,30.02597949979891,0.9825167815581105,0.9812293825384427,paraxial
22-842,48-667,0.3426239979952672,27.0,41.2625,88.2625,88.2625,0.6033071204207614,12.232557882028555,8.838727454039317,30.02597949979891,0.9825167815581105,0.9812293825384427,paraxial
23-813,36-680,0.3426239979952672,27.0,41.2625,88.2625,88.2625,0.6033071204207614,12.232557882028555,8.838727454039317,30.02597949979891,0.9825167815581105,0.9812293825384427,paraxial
23-813,48-667,0.3426239979952672,27.0,41.2625,88.2625,88.2625,0.6033071204207614,12.232557882028555,8.838727454039317,30.02597949979891,0.9825167815581105,0.9812293825384427,paraxial
84-285,LA4280,0.34242467097616686,37.0,282.0,300.85,300.85,0.4321747450831279,12.048169585578272,100.06234961108032,8.365808946037248,0.9894306268614976,0.9738059880102384,paraxial
84-281,LA4194,0.34227779510901124,27.0,180.0,222.2,222.2,0.644220420637414,12.566463724121128,62.54351514222195,16.731617892074496,0.968396080345558,0.99453127687046,paraxial
49-962,70-883,0.3417678611594615,27.0,56.0,59.8,59.8,0.41097452479453433,12.21015180269312,41.68355240068995,5.0012988264353115,0.9809605156197027,0.9803303236329954,paraxial
36-686,49-964,0.341697254032348,47.0,106.5,269.5,269.5,0.5042107550040109,11.745599746991907,22.514937989552422,66.70823307405354,0.999964836049454,0.9615004757902005,paraxial
22-840,70-883,0.34169419071119966,27.0,38.625,42.425,42.425,0.5324651471865351,11.791135346954897,5.119114862415079,5.0012988264353115,0.9980231636300557,0.9633624560120284,paraxial
23-811,70-883,0.34169419071119966,27.0,38.625,42.425,42.425,0.5324651471865351,11.791135346954897,5.119114862415079,5.0012988264353115,0.9980231636300557,0.9633624560120284,paraxial
48-024,84-279,0.34164271411562713,37.0,90.92,183.92000000000002,183.92000000000002,0.423553939301446,12.068767791547021,20.841776200344974,37.51883446885836,0.9863283947103418,0.9746380683586553,paraxial
45-692,LA4130,0.34159447247351227,37.0,75.0,143.0625,143.0625,0.5510887369231594,11.849332918479277,15.003896479305935,33.46323578414899,0.9952787277648907,0.9657369663315069,paraxial
84-285,LA4765,0.3415125878699194,47.0,157.0,260.1,260.1,0.43573466994291987,11.956247593721013,100.06234961108032,41.82904473018624,0.9905812522454759,0.9700840293372567,paraxial
45-694,LA4966,0.3414835039021919,27.0,66.0,105.425,105.425,0.6391716987606633,12.459196569606085,15.003896479305935,25.097426838111748,0.9702989207050442,0.9902775275567033,paraxial
49-964,LA4036,0.34147808033806687,37.0,80.0,86.75,86.75,0.46072023713515375,11.80849425839939,66.70823307405354,5.092231532370499,0.9966585760554171,0.964071326393238,paraxial
48-281,LA4102,0.34143154509782075,27.0,154.71,559.01,559.01,0.6425125527913642,12.487676150532652,208.43594854463677,167.31617892074496,0.9690443815620791,0.9914086835906271,paraxial
48-670,70-883,0.3413942271992409,27.0,84.0,87.8,87.8,0.5788796150747082,11.978246160769089,50.03117480554016,5.0012988264353115,0.9893282135283002,0.9709760588481035,paraxial
89-414,LA4003,0.3412402792697768,37.0,69.75,142.85,142.85,0.6228065443737232,12.292240615492666,20.841776200344974,29.098465899259995,0.9761703233834317,0.9836201823346504,paraxial
36-689,LA4023,0.34116740599006806,67.0,132.375,703.625,703.625,0.3850463131112378,12.535358735657875,29.189398605195183,291.89398605195186,0.9664513300274697,0.9932996634626967,paraxial
22-842,LA4026,0.3411327711757977,27.0,41.2625,45.2625,45.2625,0.4899625430004484,11.710816120913487,8.838727454039317,5.092231532370499,0.9997943991136213,0.9600757179557992,paraxial
23-813,LA4026,0.3411327711757977,27.0,41.2625,45.2625,45.2625,0.4899625430004484,11.710816120913487,8.838727454039317,5.092231532370499,0.9997943991136213,0.9600757179557992,paraxial
72-494,LA4026,0.3411327711757977,27.0,41.2625,45.2625,45.2625,0.4899625430004484,11.710816120913487,8.838727454039317,5.092231532370499,0.9997943991136213,0.9600757179557992,paraxial
72-514,LA4026,0.3411327711757977,27.0,41.2625,45.2625,45.2625,0.4899625430004484,11.710816120913487,8.838727454039317,5.092231532370499,0.9997943991136213,0.9600757179557992,paraxial
84-283,89-413,0.3408307633781518,27.0,130.5,157.0,157.0,0.5563690152813756,11.819391390829095,50.03117480554016,16.677058268513385,0.9943105978248243,0.9645160566908463,paraxial
LA4010,LA4249,0.34081684326856687,67.0,418.9,441.09999999999997,441.09999999999997,0.5795612501876759,11.941897027020278,333.5411653702677,8.365808946037248,0.9891569955578797,0.9695016795975856,paraxial
49-964,70-884,0.34072327078837583,27.0,130.0,138.95,138.95,0.4741852999748337,11.710775588911238,66.70823307405354,5.0012988264353115,0.9985959605179185,0.9600740565077657,paraxial
49-960,89-411,0.3407038502276894,27.0,88.875,107.125,107.125,0.6110485530742462,12.15588006857585,29.189398605195183,8.329435863663173,0.9800871075618831,0.9781492091030318,paraxial
48-281,LA4600,0.34057245451565626,27.0,248.46,413.6475,413.6475,0.4421171710946643,11.845535518374048,208.43594854463677,83.65808946037248,0.9924599905265497,0.9655822072599454,paraxial
